Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G3200310003512,1905,19,12160000.000000000000000,4375.233886718750000,4390.728515625000000,15.494628906250000,4382.992084703947512,4.215219341669691,83276.849609375000000
,G3200310003513,1906,34,21760000.000000000000000,4386.204589843750000,4399.999511718750000,13.794921875000000,4392.900318818933556,3.944522202642169,149358.610839843750000
,G3200310003514,1907,22,14080000.000000000000000,4351.833496093750000,4365.308105468750000,13.474609375000000,4358.462002840909008,3.683534616753086,95886.164062500000000
,G3200310003515,1908,275,176000000.000000000000000,4311.789062500000000,4385.171386718750000,73.382324218750000,4346.108277698863276,18.184745793876299,1195179.776367187500000
,G3200310940200,1909,3910,2502400000.000000000000000,3917.827392578125000,4246.044433593750000,328.217041015625000,4104.292359022838355,80.011456367028472,16047783.123779296875000
,G3200310980000,1910,27,17280000.000000000000000,4418.285644531250000,4422.187988281250000,3.902343750000000,4420.692455150462592,1.125746638171661,119358.696289062500000
,G3200310980100,1911,44,28160000.000000000000000,4302.160644531250000,4343.831542968750000,41.670898437500000,4324.911521218039525,11.005833273048401,190296.106933593750000
,G3200310980200,1912,181,115840000.000000000000000,4295.525878906250000,4394.992187500000000,99.466308593750000,4343.914817852210035,28.781984319386879,786248.582031250000000
,G3200310980300,1913,696,445440000.000000000000000,4185.110351562500000,4406.867675781250000,221.757324218750000,4331.878780671920140,49.668432645919268,3014987.631347656250000
,G3200310990000,1914,135,86400000.000000000000000,4029.553710937500000,4176.042480468750000,146.488769531250000,4110.125717954282663,36.270470999944969,554866.971923828125000
,G3200310990100,1915,1128,721920000.000000000000000,4040.483154296875000,4203.509277343750000,163.026123046875000,4112.563754250817510,41.588949830904774,4638971.914794921875000
,G3200330970100,1916,44131,28243840000.000000000000000,5718.822753906250000,7012.615722656250000,1293.792968750000000,6517.566791898250813,269.332138793570266,287626740.093261718750000
,G3200330970200,1917,16057,10276480000.000000000000000,5821.926757812500000,7015.379882812500000,1193.453125000000000,6599.534588904712109,284.487114931341580,105968726.894042968750000
,G3200330970300,1918,224,143360000.000000000000000,6984.460937500000000,7015.277343750000000,30.816406250000000,7005.383095877511550,8.419912540824892,1569205.813476562500000
,G3205100000100,1919,6,3840000.000000000000000,4123.727539062500000,4151.754394531250000,28.026855468750000,4138.879720052083030,8.750055238855932,24833.278320312500000
,G3205100000200,1920,6,3840000.000000000000000,4149.280273437500000,4176.624511718750000,27.344238281250000,4161.784830729166970,9.764442285380445,24970.708984375000000
,G3205100000300,1921,309,197760000.000000000000000,3973.433105468750000,4199.365234375000000,225.932128906250000,4088.770788297684248,52.361679517489804,1263430.173583984375000
,G3205100000400,1922,102,65280000.000000000000000,4185.102050781250000,4258.300292968750000,73.198242187500000,4220.335994944853155,20.747938819195475,430474.271484375000000
,G3205100000501,1923,9,5760000.000000000000000,4161.472167968750000,4179.955078125000000,18.482910156250000,4173.183322482638687,5.816655518799840,37558.649902343750000
,G3205100000502,1924,4,2560000.000000000000000,4152.770019531250000,4162.992187500000000,10.222167968750000,4159.639892578125000,4.070001198548180,16638.559570312500000
,G3205100000600,1925,19,12160000.000000000000000,4124.997070312500000,4154.951660156250000,29.954589843750000,4139.097964638157464,9.488630133941212,78642.861328125000000
,G3205100000701,1926,7,4480000.000000000000000,4106.739746093750000,4118.977050781250000,12.237304687500000,4113.390276227678442,4.875953411442327,28793.731933593750000
