"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","response","SE","BTUng","response","SE","BTUlpg","response","SE","BTUfo","response","SE","BTUwd"
"1902","G3500130000600","35",1250,10.0437676105228,0.0431798008102245,24671846.239056,10.4265357037572,0.0632810440206887,35649104.7926811,8.13249576912579,0.616218878489942,3403282.78275719,6.83958266416946,0.203908437872553,934099.220298328,8.45260551455159,0.295740613754592,4687269.5881924
"1903","G3500130000700","35",2374,10.013305951409,0.0431798008102245,23931632.1803265,10.4646196546496,0.0632810440206887,37032947.3908016,8.14333321700562,0.616218878489942,3440366.26473248,6.61001637999804,0.203908437872553,742495.180686618,8.42880163220149,0.295740613754592,4577011.86152989
"1904","G3500130000800","35",1588,9.95870710851631,0.0431798008102245,22660022.8311137,10.327405547285,0.0632810440206887,32284714.3755319,8.08362589854578,0.616218878489942,3240963.36201222,6.47270640146161,0.203908437872553,647233.031159134,8.40869454383447,0.295740613754592,4485900.54089446
"1905","G3500130000900","35",3040,9.85974239571564,0.0431798008102245,20524874.6954945,10.0796489798156,0.0632810440206887,25199831.5910096,7.99873452370623,0.616218878489942,2977188.04126801,5.9298564295234,0.203908437872553,376100.513018469,8.29447108833993,0.295740613754592,4001686.14823873
"1906","G3500130001000","35",387,9.9282118906552,0.0431798008102245,21979430.6443587,10.2599523779115,0.0632810440206887,30178830.7394393,8.36810541012366,0.616218878489942,4307467.44283874,6.43984613936911,0.203908437872553,626310.427880188,8.39885249300438,0.295740613754592,4441966.63426444
"1907","G3500130001102","35",1288,10.1212713445567,0.0431798008102245,26660058.2372495,10.5609449090221,0.0632810440206887,40777613.4472046,8.38100598319773,0.616218878489942,4363396.2223436,7.14841335827382,0.203908437872553,1272086.00839108,8.5939659544147,0.295740613754592,5398983.393762
"1908","G3500130001103","35",1635,10.2390002489809,0.0431798008102245,29990942.0263163,10.71797419756,0.0632810440206887,47711026.2443123,8.49197333421718,0.616218878489942,4875477.53346502,7.46749358311765,0.203908437872553,1750214.41648463,8.58055541973343,0.295740613754592,5327063.45995112
"1909","G3500130001104","35",1790,10.2176282761149,0.0431798008102245,29356777.2416974,10.661393356516,0.0632810440206887,45086446.861602,8.38948065760672,0.616218878489942,4400531.71800675,7.32470541516907,0.203908437872553,1517326.85134623,8.41799071655038,0.295740613754592,4527796.68227468
"1910","G3500130001201","35",7221,10.2272501978387,0.0431798008102245,29640609.168881,10.4234156069902,0.0632810440206887,35538049.4778268,8.39779429677186,0.616218878489942,4437268.64804115,6.56628475799039,0.203908437872553,710724.418762052,8.55924792067863,0.295740613754592,5214757.78579126
"1911","G3500130001203","35",2124,9.98714055564607,0.0431798008102245,23313572.6998606,10.0758762470832,0.0632810440206887,25104938.4772492,8.17782600695834,0.616218878489942,3561104.42315752,6.04471284749561,0.203908437872553,421876.597166432,8.33705772284148,0.295740613754592,4175785.33105089
"1912","G3500130001204","35",1774,10.4200523045542,0.0431798008102245,35943471.17494,10.5230279738543,0.0632810440206887,39260397.1871454,9.21751690659178,0.616218878489942,10072023.4765258,7.27757913904161,0.203908437872553,1447479.63323127,8.7742500728089,0.295740613754592,6465593.39529397
"1913","G3500130001205","35",1909,10.234493560777,0.0431798008102245,29856086.3062503,10.4480530879665,0.0632810440206887,36424492.5183513,8.52238806823586,0.616218878489942,5026041.96794029,6.86068278103148,0.203908437872553,954018.230716556,8.65951046599765,0.295740613754592,5764711.94913927
"1914","G3500130001303","35",2751,10.282965433878,0.0431798008102245,31338914.1374712,10.6464340182392,0.0632810440206887,44417003.1528115,8.72396057009582,0.616218878489942,6148482.42443529,7.42506226676059,0.203908437872553,1677504.02250682,8.66113143734391,0.295740613754592,5774063.95965106
"1915","G3500130001304","35",2717,10.2592003444254,0.0431798008102245,30602922.136619,10.5853833471601,0.0632810440206887,41786431.3901548,8.73430156157688,0.616218878489942,6212393.71231526,7.32112331397651,0.203908437872553,1511901.35616032,8.37557058567865,0.295740613754592,4339743.76781964
"1916","G3500130001305","35",1691,10.2442609062603,0.0431798008102245,30149129.8148624,10.3222611828357,0.0632810440206887,32119056.5062067,9.11703214227244,0.616218878489942,9109126.86673269,7.24488453132031,0.203908437872553,1400920.12423869,8.83327405505272,0.295740613754592,6858705.87560517
"1917","G3500130001306","35",4444,10.3230584528388,0.0431798008102245,32620913.7081424,10.7321669455778,0.0632810440206887,48393004.945625,8.39785429916492,0.616218878489942,4437534.90276655,7.13669731996095,0.203908437872553,1257269.16680779,8.61675685714584,0.295740613754592,5523443.99659778
"1918","G3500130001307","35",2283,10.2531623208161,0.0431798008102245,30418697.7056768,10.6487183009751,0.0632810440206887,44518580.1173796,8.73574945683935,0.616218878489942,6221395.12271713,7.46584220125876,0.203908437872553,1747326.52930662,8.63887103716374,0.295740613754592,5646951.02655349
"1919","G3500130001400","35",1734,10.1319556872522,0.0431798008102245,26946430.5615268,10.4884321838299,0.0632810440206887,37925378.8869908,8.71254568962381,0.616218878489942,6078697.28473604,7.04453293197961,0.203908437872553,1146573.18306562,8.86590265253248,0.295740613754592,7086186.83978382
"1920","G3500130001500","35",2338,10.3002464218349,0.0431798008102245,31885188.0169005,10.6387361935698,0.0632810440206887,44076401.4780941,8.88317958352554,0.616218878489942,7209678.10409344,7.4037035158486,0.203908437872553,1642054.55772945,8.76738455508108,0.295740613754592,6421355.78004633
"1921","G3500130001600","35",986,10.2392122372059,0.0431798008102245,29997300.4268123,10.6774592780557,0.0632810440206887,45816652.183819,8.58134282429184,0.616218878489942,5331259.66584144,7.33457959066194,0.203908437872553,1532383.41620477,8.88458149699138,0.295740613754592,7219792.53703529
"1922","G3500130001701","35",2917,10.2037909329492,0.0431798008102245,28953355.0235872,10.5742639968911,0.0632810440206887,41324367.1111101,8.4299980592733,0.616218878489942,4582491.1995896,6.9947743655207,0.203908437872553,1090917.50135853,8.3305096999819,0.295740613754592,4148531.5199148
"1923","G3500130001702","35",573,10.282909182082,0.0431798008102245,31337151.3168488,10.5711642077008,0.0632810440206887,41196468.6162389,8.89912048470381,0.616218878489942,7325527.79125947,7.17025157468473,0.203908437872553,1300171.65193709,8.85786059826755,0.295740613754592,7029427.87592567
"1924","G3500130001703","35",1035,10.2967015302949,0.0431798008102245,31772358.5858484,10.451412861514,0.0632810440206887,36547076.3764862,9.22146199536352,0.616218878489942,10111836.9855282,7.48500686107192,0.203908437872553,1781136.39025236,8.28175349813146,0.295740613754592,3951116.5867221
"1925","G3500130001705","35",920,10.2060754885145,0.0431798008102245,29019576.1861023,10.6445657674452,0.0632810440206887,44334098.5188439,8.41819419037651,0.616218878489942,4528718.06412491,7.38720580302749,0.203908437872553,1615186.65208897,8.20877298244618,0.295740613754592,3673032.82437583
"1926","G3500130001706","35",1231,10.2399942451695,0.0431798008102245,30020767.7292461,10.6850663271222,0.0632810440206887,46166510.7134375,8.29843926012399,0.616218878489942,4017597.07406602,7.2964928658544,0.203908437872553,1475117.41036641,8.25496348328541,0.295740613754592,3846671.40534528
"1927","G3500130001707","35",1637,10.1704057762761,0.0431798008102245,28002699.9107494,10.672690392462,0.0632810440206887,45598677.9714116,8.31581999313551,0.616218878489942,4088036.22495855,7.16478880585616,0.203908437872553,1293088.47924716,8.12568171153226,0.295740613754592,3380171.44827473
"1928","G3500130001801","35",1867,10.2627391739458,0.0431798008102245,30711412.5121384,10.6940941208747,0.0632810440206887,46585179.4343685,8.41755815021229,0.616218878489942,4525838.5333894,7.43952231930567,0.203908437872553,1701937.04447771,8.42704874869052,0.295740613754592,4568995.92046621
"1929","G3500130001802","35",1972,10.1961925402504,0.0431798008102245,28734189.768477,10.4830452621762,0.0632810440206887,37721627.1323325,8.45404305749087,0.616218878489942,4694012.58500595,7.26080955989736,0.203908437872553,1423408.40524763,8.10521346421046,0.295740613754592,3311688.51675993
"1930","G3500130001804","35",2416,10.2206379272722,0.0431798008102245,29445263.9906267,10.4330101805646,0.0632810440206887,35880662.8947601,8.72167006173937,0.616218878489942,6134415.3905421,7.3376618574814,0.203908437872553,1537113.91735147,8.24647337793057,0.295740613754592,3814151.00600084
"1931","G3500130001805","35",1104,10.1682410012951,0.0431798008102245,27942145.9330988,10.6816632486797,0.0632810440206887,46009669.478938,8.1793792971375,0.616218878489942,3566640.14986692,7.46288803933358,0.203908437872553,1742172.26082321,8.27630028567665,0.295740613754592,3929628.95011381
"1932","G3500130001806","35",1761,10.135552630432,0.0431798008102245,27043529.8668078,10.5280623769673,0.0632810440206887,39458548.2205398,8.28660690618278,0.616218878489942,3970339.57855342,6.97815558762225,0.203908437872553,1072937.60149035,8.16342699053942,0.295740613754592,3510195.42145899
"1933","G3500130001900","35",256,10.5130502434649,0.0431798008102245,39446502.9443607,10.6149378222775,0.0632810440206887,43039838.0927328,8.61747508406031,0.616218878489942,5527412.50771191,6.03347356855061,0.203908437872553,417161.554882362,9.12189831884995,0.295740613754592,9153561.51226562
"1934","G3500150000100","35",528,10.2739064547931,0.0431798008102245,31056297.611101,10.3916842605283,0.0632810440206887,34428082.8174852,8.30878219002951,0.616218878489942,4059366.43542011,6.50616647290694,0.203908437872553,669255.883072318,8.70268506173717,0.295740613754592,6019052.06571518
"1935","G3500150000200","35",2213,10.3736857908704,0.0431798008102245,34314944.0372278,10.4640738870895,0.0632810440206887,37012741.523816,8.5285210830084,0.616218878489942,5056961.47555875,6.85764456543932,0.203908437872553,951124.116350727,8.89990278168342,0.295740613754592,7331260.77167889
"1936","G3500150000300","35",2509,10.258484349654,0.0431798008102245,30581018.4467805,10.5867738347009,0.0632810440206887,41844575.317212,8.29584968650946,0.616218878489942,4007206.66985393,6.87716326711529,0.203908437872553,969871.188302898,8.85962902421521,0.295740613754592,7041869.89673236
"1937","G3500150000401","35",1240,10.3848174355843,0.0431798008102245,34699059.7560654,10.5491600943762,0.0632810440206887,40299877.3756136,8.47383202654684,0.616218878489942,4787827.44296216,6.98714884569167,0.203908437872553,1082630.32548927,8.87462834385946,0.295740613754592,7148289.26811579
"1938","G3500150000402","35",1473,10.2296418305809,0.0431798008102245,29711583.458654,10.5016139848348,0.0632810440206887,38428613.1647617,8.29564795391195,0.616218878489942,4006398.36717689,6.84582186410605,0.203908437872553,939945.471093136,8.76971001543832,0.295740613754592,6436305.76441341
"1939","G3500150000500","35",1165,10.2567201480211,0.0431798008102245,30527114.9264202,10.6879753874289,0.0632810440206887,46301007.4119025,8.3326671088989,0.616218878489942,4157491.26024497,7.15823518238283,0.203908437872553,1284641.77273564,8.81612913785525,0.295740613754592,6742116.2469791
"1940","G3500150000600","35",2250,10.362657320011,0.0431798008102245,33938581.8412759,10.522110561473,0.0632810440206887,39224395.7292906,8.44084436335153,0.616218878489942,4632464.8171856,6.90469408498047,0.203908437872553,996943.486675317,8.76215283062028,0.295740613754592,6387848.7421618
"1941","G3500150000700","35",2185,10.3666920352767,0.0431798008102245,34075790.9692722,10.4134551178614,0.0632810440206887,35185830.1726319,8.83368740048348,0.616218878489942,6861541.4763407,7.09624728724063,0.203908437872553,1207427.43350012,8.62455775376772,0.295740613754592,5566700.31187413
"1942","G3500150000800","35",791,10.3414998633756,0.0431798008102245,33228070.5774491,10.5055048748906,0.0632810440206887,38578425.9370975,8.74635457445525,0.616218878489942,6287724.84531735,6.88118944044444,0.203908437872553,973783.92921502,9.03364470936871,0.295740613754592,8380347.9104017
"1943","G3500150000900","35",1984,10.3689633439218,0.0431798008102245,34153275.5703035,10.3880471672744,0.0632810440206887,34303092.1089409,8.6270981407977,0.616218878489942,5580859.86290116,6.90153879461934,0.203908437872553,993802.797999263,8.74013636127365,0.295740613754592,6248747.74136393
